ひらがな,単語,英語,ジャンル,関連,出題,ソース,重要度,文字数,説明
ちゅういのまたたき,注意の瞬き,attention blink,認知心理学,RSVP課題,2018,なし,3,373,答えるものが2つある高速系列視覚提示課題において、その間隔が短いと2つ目のターゲットの検出率が下がる現象のこと。高速系列提示課題は1秒間に10回以上の速度で文字などの刺激を提示し、ある特徴で定義された刺激を報告する課題だが、例えば白い文字の検出とその後に出てくるXの文字を有無も報告させると、白い文字の約180から450ms後にXの文字が提示される場合にXの文字の見落としが発生することがある。この効果は標的を無視すると見られないため、注意を向けることに原因があるとされ、注意の瞬きと呼ばれる。様々な説明モデルが存在するが、1つ目の刺激に注意を向けることで2つ目の刺激の処理に振り分ける注意資源がなくなることが原因と考えられている。刺激間の間隔が極端に短かったり、被験者が頻繁にビデオゲームをする人である場合には効果が小さいことが報告されている。
がくしゅうせいむりょくかん,学習性無力感,Learned helplessness,発達心理学,うつ病　オペラント条件づけ,2018,マイヤーズ,3,299,反復性の有害な出来事を避けることができない場合に、無力感と受動的な諦めを動物や人間が学習すること。セリグマンの実験(1975、1991)では、固定用ベルトでくくりつけられた犬に電気ショックを反復呈示し、回避が不可能な状態にしたところ、犬は無力感を学習し、その後別の状況で罰の回避が可能であっても希望がないかのようにうずくまるという結果が得られた。同様に人間も自分でコントロールできない外傷体験に何度も遭遇したとき、人は無力感や絶望感、抑うつを感じるようになる。自分の知らない文化で感じるカルチャーショックはコントロール感の低下にあることが示唆されている。うつ病の自滅的信念への影響も示唆されている。
ぶろーかや,ブローカ野,broca area,脳神経科学,ウェルニッケ野　言語,2018,マイヤーズ,3,191,前頭葉の一部（下前頭回弁蓋部・三角部）で、ほとんどの場合左半球にあり発話に関与する筋活動に関与するとされる領野である。フランス人の医師ポール・ブローカはこの部位の損傷により話し言葉の発話が困難になることを報告した。この発話の障害はブローカ失語と呼ばれ、なじみの歌を歌ったり話し言葉は理解したりはできるものの、発話は助詞や動詞のないものとなり、言葉を話したての幼児のような発話と喩えられるようなものである。
ちかくてきじゅうてん,知覚的充填,Filling in,知覚心理学,盲点,2018,なし,3,126,？感覚器官から入力された情報に欠落した部分がある場合、それを補填する脳の働きのこと。視覚で言えば盲点の充填がその例として挙げられ、光信号の受容体がない盲点の部分の情報を周囲の情報から推定し充填することで、意識に上る際には欠落のない映像として知覚される。
せいしまくでんい,静止膜電位,resting membrane potential,神経科学,ニューロン,2018,生命科学,3,307,細胞膜がイオンを通さないことによってイオンが一定の濃度に保たれている中、イオンチャネルによるイオンの透過性と膜内外のイオンの濃度差によって生じる平衡電位のこと。細胞膜には刺激がなくても常時開いたままの漏洩カリウムチャネルが存在し、内部の方がカリウムイオン濃度が高いためにカリウムイオンを常に細胞外に流出させ続けており、濃度勾配による流出とそれによって生じる電気勾配の釣り合いによって平衡電位が生じる。その大きさは約70mVで、他のイオンの濃度の影響もあるがネルンストの式でカリウムイオンの平衡電位を求めると近い値が得られる。興奮性細胞の場合、ナトリウムチャネルへの刺激によって急激な電位変化である活動電位が生じる。
ちゅうおうじっこうけい,中央実行系,central executive,記憶心理学,ワーキングメモリ,2018,マイヤーズ,3,111,Baddeley & Hitchの提唱したワーキングメモリーモデルにおける中心的な構成概念であり、下位システムの記憶貯蔵庫（視空間スケッチパッド・音韻ループ）と相互作用して、それらの制御と情報処理を行う認知システムである。
りようかのうせいひゅーりすてぃっく,利用可能性ヒューリスティック,availavility,社会心理学,意思決定　バイアス,2018,マイヤーズ,3,297,トヴェルスキーとカーネマンの提唱したヒューリスティックスの一つで、出来事の起こりやすさを見積もる際に、記憶の中でそれがどれくらい利用可能かに基づいて決めること。事案がたやすく心に浮かぶものであればそうした事象が現実に起こりやすいものと仮定する。少ない情報と時間である程度正確な意思決定を行うための経験則であるヒューリスティックであるが、「自殺と殺人どちらが多い？」「Kで始まる単語とKが3番目の単語どちらが多い？」というような問いでは誤りやすくなる。確率という属性をその利用可能性という属性に代替すること、利用可能性という評価しやすい対象に代替することにヒューリスティックの特性があるとされる。
めいしんこうどう,迷信行動,superstitious behavior,行動主義,オペラント条件づけ,2018,日本心理学会,3,335,客観的にみて関係の根拠が薄いにもかかわらず、特定の結果を生むと信じられて行われる行動のこと。Skinnerの1948年の実験で一定の間隔で餌をやる箱に空腹のハトを閉じ込めると、箱の中を回るなどの特異な行動を餌の出現の直前に行うようになることを発見した。このあたかも特定の行動が餌の出現の原因であるような振る舞いを見せるのは、人間の迷信行動の出現と同じ仕組みで成立するものだと考えられており、行動に好ましい結果が伴うときにその行動が強化されるオペラント条件づけの一種とされている。異なる行動をする、行動をやめることが迷信行動の解消に効果的だが、多くの人はジンクスを破ることによる悪い結果を予想してしまいそのような行動を取ることが難しいため、迷信行動は根強く残ることが多い。
まぐにちゅーどすいていほう,マグニチュード推定法,,認知心理学,閾値　心理学史,2018,心理学概論2,3,228,標準刺激による感覚量に一定の数値を与え、強度の異なる様々な刺激に対する感覚量を、 標準刺激に対する比率で評定する心理物理学の感覚尺度の構成法。Stevensはこれを用いて実験し、Weber・Fechnerの法則の修正版としてべき法則を発表した。そのべき指数は感覚によって異なるとし、様々な感覚のべき指数が求められてきている。感覚尺度の構成法としては、これの他にクロスモーダルマッチング法があり、他の感覚次元で主観的に等しい感覚量によって測定する手法である。
あいこにっくめもりー,アイコニックメモリー,iconic memory,記憶心理学,感覚記憶,,マイヤーズ,2,276,視覚刺激についてのごく一瞬の感覚記憶のこと。0.1秒から0.2秒程度の間だけ、目に写った画像の写真的、絵画的な記憶が心に留まり、そのどの部分に関しても細部まで思い出せるというもの。1960年のジョージ・スパーリングの実験では、9文字を瞬間提示したすぐ後に3段階の高さの音のどれかを鳴らして1行目、2行目、3行目のどの行を報告するかを指示したところ、どの行についても答えることができたということが示されている。しかし、この時間感覚を0.5秒以上遅らせると半数くらいの文字しか残らないという結果となった。聴覚刺激の感覚記憶はエコイック・メモリーと呼ばれる。
